-52,-6,35
-53,-5,36
-55,-7,37
-56,-7,37
-56,-6,37
-54,-7,36
-53,-7,36
-52,-7,37
-52,-8,36
-52,-8,36
-53,-7,36
-54,-8,36
-54,-8,35
-52,-8,36
-52,-9,36
-52,-10,35
-53,-11,35
-53,-10,35
-53,-7,39
-53,-5,40
-52,-4,38
-52,-4,37
-51,-4,36
-51,-8,34
-53,-9,34
-54,-12,32
-55,-12,32
-55,-14,29
-55,-12,30
-54,-11,28
-52,-6,29
-51,-4,29
-46,-6,24
-40,-13,16
-37,-15,15
-36,-16,17
-26,-29,14
-17,-42,12
-13,-51,12
-8,-66,10
-6,-73,9
-1,-89,10
1,-93,15
1,-86,28
3,-90,33
4,-93,33
7,-72,32
5,-72,30
5,-71,27
6,-71,27
0,-38,34
-7,-30,44
-6,-16,47
1,-14,68
-4,-16,67
1,-26,64
1,-25,63
-1,-11,64
2,-14,69
7,-19,77
19,-27,99
23,-25,102
21,-14,102
21,-12,93
12,-10,78
1,-15,45
-6,-10,32
-16,0,14
-20,3,8
-26,15,0
-36,24,1
-41,24,6
-50,34,7
-56,32,2
-46,30,7
-40,33,15
-23,41,25
-19,51,39
-19,56,47
-17,53,44
-18,53,35
-21,66,14
-19,69,7
-15,67,-6
-13,52,-30
-10,55,-39
-6,61,-41
-4,57,-40
-2,57,-32
0,56,-33
3,53,-35
4,52,-37
5,51,-38
6,52,-42
7,50,-43
7,50,-42
6,51,-42
10,58,-47
6,57,-36
7,54,-36
3,49,-37
0,47,-35
-4,49,-30
-7,50,-31
-8,50,-27
-8,53,-23
-8,51,-23
-10,54,-29
-7,44,-30
-6,41,-32
-3,56,-30
-1,62,-29
4,58,-39
6,55,-43
5,52,-39
5,52,-36
4,48,-39
7,54,-29
6,50,-25
10,46,-37
7,48,-35
8,59,-30
9,60,-29
9,50,-29
6,48,-32
5,52,-31
5,53,-33
5,53,-31
4,50,-32
5,51,-32
4,52,-33
3,51,-33
4,54,-30
5,57,-30
3,56,-31
4,52,-30
5,53,-29
3,53,-30
1,52,-30
2,57,-33
6,67,-28
7,64,-36
8,69,-42
6,71,-44
3,69,-39
0,68,-28
-1,67,-26
-4,56,-15
-8,47,-8
-16,32,15
-24,30,23
-48,32,22
-39,16,38
-31,3,55
-17,2,61
-12,10,60
-8,4,56
-7,1,61
-10,-3,66
-17,26,70
-22,12,70
-24,-5,84
-19,-1,83
-21,10,61
-21,10,46
-23,6,31
-15,22,65
-13,27,70
-28,13,63
-30,15,56
-30,22,48
-25,21,56
-15,4,68
-13,-18,62
-11,-15,63
-9,-15,61
-18,-13,68
-17,-14,68
-15,-14,66
-15,-6,58
-21,-1,57
-21,4,61
-30,5,62
-27,7,61
-17,9,72
-17,5,64
-15,7,52
-17,2,61
-16,6,62
-16,7,60
-17,5,60
-20,2,61
-21,3,61
-20,5,62
-20,6,61
-19,5,57
-12,6,65
-14,1,66
-16,2,57
-17,6,54
-14,7,57
-15,0,70
-18,2,70
-21,16,60
-23,15,63
-19,8,63
-18,-1,62
-15,-2,69
-18,10,56
-20,13,52
-16,15,53
-17,14,56
-20,30,54
-9,15,63
-24,-5,69
-22,1,64
-20,5,60
-17,0,62
-14,1,63
-15,1,65
-11,-2,57
-21,-2,60
-17,4,63
-16,5,65
-17,6,65
-17,5,64
-17,1,63
-16,5,62
-13,4,61
-17,2,61
-18,1,61
-25,13,47
-1,6,61
-16,6,69
-17,4,59
-17,1,60
-16,3,59
-16,2,61
-16,3,63
-17,2,63
-16,0,80
-13,-2,65
-19,2,68
-15,5,63
-16,3,59
-15,4,59
-15,4,61
-17,4,66
-18,1,67
-17,2,65
-15,10,60
-14,2,59
-15,5,59
-14,5,61
-15,5,62
-17,4,62
-18,3,61
-17,2,59
-28,7,40
-21,-3,63
-17,3,70
-15,4,64
-15,2,62
-15,5,63
-15,4,67
-17,4,65
-16,10,60
-16,12,57
-16,6,55
-15,6,64
-16,4,68
-19,5,63
-19,7,60
-5,7,60
-21,-1,66
-15,6,65
-16,4,63
-18,5,60
-15,9,59
-14,9,60
-15,5,58
-15,4,57
-18,4,65
-22,8,60
-7,11,62
-17,5,65
-14,5,64
-15,5,64
-16,6,63
-18,6,63
-18,4,64
-18,3,63
-16,6,60
-14,7,61
-16,7,63
-17,6,64
-18,7,61
-14,14,54
-14,15,57
-12,18,63
-12,9,65
-16,2,58
-19,25,50
-17,29,59
-16,25,62
-15,25,53
-10,16,60
-9,5,70
-19,-5,69
-20,-1,66
-19,0,65
-14,5,59
-13,4,56
-14,8,58
-16,11,59
-18,9,64
-17,6,68
-17,7,57
-16,3,64
-13,8,65
-15,5,65
-16,5,63
-17,7,60
-17,10,56
-16,10,57
-15,9,62
-16,8,63
-20,7,59
-12,7,63
-17,5,65
-15,4,64
-15,3,65
-17,5,63
-17,7,60
-17,9,60
-15,9,60
-15,9,60
-16,8,61
-17,8,62
-17,8,62
-17,7,61
-16,7,62
-16,6,63
-16,6,62
-16,6,61
-16,7,61
-15,8,61
-16,7,61
-15,8,62
-16,8,62
-17,7,61
-16,6,62
-16,5,62
-16,5,62
-16,6,62
-16,7,61
-16,8,61
-16,9,62
-17,8,61
-17,8,61
-17,7,61
-17,7,61
-16,7,62
-17,5,62
-17,4,61
-16,6,62
-16,7,62
-16,8,61
-16,8,61
-17,10,61
-17,8,61
-17,7,61
-17,6,62
-17,6,62
-17,4,62
-17,4,62
-16,6,62
-16,6,61
-16,8,61
-18,9,61
-17,9,61
-18,8,61
-17,7,61
-17,6,62
-17,5,63
-17,4,64
-17,7,61
-16,5,60
-15,16,52
-9,2,60
-17,11,62
-16,7,63
-17,7,62
-17,7,61
-17,6,63
-17,4,64
-17,4,63
-18,6,62
-16,8,59
-18,11,59
-14,7,59
-17,7,61
-18,6,62
-19,5,61
-18,6,62
-17,7,64
-17,6,64
-17,5,63
-19,9,59
-10,9,60
-19,5,60
-16,7,61
-16,6,60
-17,7,61
-17,5,64
-17,4,63
-18,4,63
-17,6,63
-11,10,62
-17,7,61
-16,8,60
-16,7,59
-17,7,59
-17,7,64
-18,5,63
-17,4,62
-18,6,63
-17,6,63
-17,6,61
-14,6,61
-17,6,61
-16,7,61
-17,7,60
-17,7,62
-17,6,63
-17,4,62
-17,5,63
-17,6,63
-17,7,62
-15,7,59
-18,7,59
